trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.5099999999999999, 'e': 0.4065696597405991}",20,2,8.306966026948286,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5079999999999999, 'e': 0.3985190410845142}",30,0,-1.6453805532943508,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5059999999999999, 'e': 0.3906278353585211}",20,0,-51.50105252251285,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.5039999999999999, 'e': 0.38289288597511206}",30,0,-58.59067007416288,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.5019999999999999, 'e': 0.37531109885139957}",20,16,6.34295386983437,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.4999999999999999, 'e': 0.36787944117144233}",25,0,-67.50251446990686,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.4979999999999999, 'e': 0.3605949401730783}",20,0,-19.32966264612304,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
52,False,"{'a': 0.4959999999999999, 'e': 0.35345468195878016}",20,0,-51.1320918519193,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.4939999999999999, 'e': 0.34645581033005746}",20,14,11.570300831412448,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.4919999999999999, 'e': 0.33959552564493917}",20,3,-38.2265448020295,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
55,False,"{'a': 0.4899999999999999, 'e': 0.33287108369807955}",20,2,-18.045446395608533,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.4879999999999999, 'e': 0.32627979462303947}",25,14,13.848508152016194,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
