trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.6, 'e': 0.08543495096732125}",20,10,20.27680940988575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.6, 'e': 0.08374322559219598}",20,3,27.4463536282779,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.08208499862389881}",20,7,-20.824951405194472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.6, 'e': 0.08045960674953244}",35,24,17.96191696789158,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.07886639979067496}",25,13,8.77648706494254,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 0.07730474044329975}",25,20,7.030396661233918,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.07577400402284548}",30,12,23.39731020899203,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.6, 'e': 0.07427357821433388}",20,13,-27.344508348520602,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.6, 'e': 0.0728028628274356}",25,0,18.182106603873184,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.6, 'e': 0.07136126955638607}",25,3,36.471319347139975,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.06994822174465537}",35,12,13.627728743017663,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.06856315415427792}",25,0,7.6306463018154425,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
135,False,"{'a': 0.6, 'e': 0.06720551273974976}",20,11,15.581007927038478,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 0.06587475442640296}",20,0,17.71849602098699,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.6, 'e': 0.06457034689316848}",20,0,-8.352563859947297,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
138,False,"{'a': 0.6, 'e': 0.06329176835964072}",30,19,12.284774070422493,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.6, 'e': 0.062038507377358304}",20,0,-24.36773411007724,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.6, 'e': 0.06081006262521796}",20,1,32.16041658351947,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.059605942708939375}",20,0,29.59193573084016,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.6, 'e': 0.058425665964500835}",30,5,-8.05697184078451,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.6, 'e': 0.057268760265467365}",25,0,10.966218388779144,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
144,False,"{'a': 0.6, 'e': 0.05613476283413373}",20,10,-21.456579506966456,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.6, 'e': 0.055023220056407245}",20,14,9.046393354701683,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.053933687300356026}",25,0,7.1905397063175265,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
147,False,"{'a': 0.6, 'e': 0.052865728738350375}",25,5,35.282156884445996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.6, 'e': 0.05181891717272585}",20,6,24.420974463819306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.05079283386489851}",20,12,13.689134615503878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.6, 'e': 0.04978706836786395}",20,3,28.797506879826415,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.04880121836201297}",25,0,-5.53751106102467,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
152,False,"{'a': 0.6, 'e': 0.047834889494198375}",30,5,29.329453507721382,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.6, 'e': 0.04688769521998849}",25,11,18.6889511225434,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.04595925664904421}",30,22,16.330796834098425,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.04504920239355781}",25,14,-33.417139068871336,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
